ID,Nationality,Club,Age,Value,Wage,Name,Special
213927,Ukraine,Shakhtar Donetsk,24,4M,1K,M. Shevchenko,1170
159911,Chile,Universidad Católica,25,2.9M,6K,R. Mantores,1183
178087,Spain,FC Porto,29,3.9M,14K,Bueno,1813
191655,Korea Republic,Vissel Kobe,26,3.3M,6K,Kim Seung Gyu,1090
202408,England,Bristol City,27,3.8M,38K,A. Flint,1460
102056,Italy,Cagliari,33,1.5M,42K,S. Padoin,1999
200106,Armenia,Beşiktaş JK,27,4.2M,43K,A. Özbiliz,1851
221354,Serbia,SV Werder Bremen,21,5.5M,19K,M. Veljković,1571
222634,Nigeria,Watford,21,6.5M,38K,I. Success,1785
203435,Ivory Coast,SM Caen,24,4.5M,18K,I. Diomandé,1854
210859,France,Fiorentina,28,3.2M,4K,V. Laurini,1778
172716,Spain,Real Sporting de Gijón,29,3.8M,13K,Alex López,1915
185260,Turkey,Antalyaspor,31,3.5M,19K,D. Kadah,1848
202157,Australia,Bursaspor,26,4.1M,17K,A. Behich,1962
175789,Iceland,Aston Villa,29,3.9M,37K,B. Bjarnason,1922
184749,England,Bournemouth,27,4.1M,56K,D. Gosling,1951
200110,Netherlands,AZ Alkmaar,26,3.5M,9K,M. Bizot,1194
214190,Colombia,Independiente Santa Fe,33,2M,4K,L. Castellanos,1168
183982,France,FC Metz,29,4M,18K,N. Roux,1836
209839,Netherlands,Sassuolo,24,4M,36K,T. Letschert,1920
191151,Mali,Dinamo Moscow,28,3.6M,31K,S. Sow,1823
202672,Brazil,Amiens SC Football,28,3.2M,37K,Danilo Avelar,1921
209840,France,Stade de Reims,24,4.5M,9K,J. Jeanvier,1676
102064,Italy,La Spezia,33,1.6M,5K,C. Terzi,1630
138673,Algeria,CF Os Belenenses,33,1.6M,8K,H. Yebda,1838
220337,Paraguay,LOSC Lille,24,4.7M,30K,J. Alonso,1654
225201,Spain,Torino,21,5M,27K,Alex Berenguer,1936
200882,Nigeria,Carpi,24,5M,5K,J. Mbakogu,1828
144306,Turkey,İstanbul Başakşehir FK,34,1.2M,23K,E. Korkmaz,1494
233138,Japan,Kawasaki Frontale,29,4M,11K,Y. Kobayashi,1790
198579,Dominican Republic,CA Osasuna,27,3.9M,10K,Tano Bonnin,1657
208564,Denmark,FC København,26,4.1M,19K,P. Ankersen,1950
206517,England,Aston Villa,21,6M,27K,J. Grealish,1711
208053,Greece,PAOK Thessaloniki,23,5.5M,1K,D. Pelkas,1766
180405,Brazil,Pohang Steelers,27,4.2M,12K,Lulinha,1870
166838,England,Bournemouth,30,3.8M,56K,M. Pugh,1830
205495,Honduras,FC Barcelona B,24,5.5M,9K,A. Lozano,1752
143799,Turkey,Evkur Yeni Malatyaspor,35,950K,10K,Y. Ayhan,1402
216247,DR Congo,VfL Wolfsburg,24,4.7M,18K,M. Tisserand,1949
231095,Slovenia,Atiker Konyaspor,28,3.2M,18K,N. Skubic,1868
237239,FYR Macedonia,Levante UD,21,6M,18K,E. Bardhi,1866
188599,Italy,Ferrara (SPAL),32,3.2M,17K,M. Antenucci,1808
159928,Chile,Universidad Católica,29,3M,8K,P. Candiyana,1874
230328,Brazil,Atlético Clube Goianiense,29,2.7M,11K,Pierrino Faria,1114
231352,England,Swansea City,19,7.5M,56K,T. Abraham,1653
186296,Russia,Fenerbahçe SK,29,3.1M,53K,R. Neustädter,1804
199353,Germany,FC Red Bull Salzburg,27,4.1M,31K,M. Rzatkowski,1937
211385,Denmark,Real Betis Balompié,23,4.7M,18K,R. Durmisi,2027
213433,Argentina,Rosario Central,27,3.8M,16K,F. Tobio,1586
213689,England,Preston North End,22,4.5M,13K,B. Pearson,1821
159929,Chile,Unión Española,25,3.5M,6K,R. Henriques,1814
230330,Brazil,Grêmio Foot-Ball Porto Alegrense,33,2M,17K,Nivo Serpinho,1128
201403,Spain,RCD Espanyol,26,5M,28K,Álvaro,1792
168379,Spain,Real Sporting de Gijón,29,3.9M,13K,Carmona,1885
181436,France,KAA Gent,28,3.2M,20K,D. Marcq,1770
199101,Spain,UD Las Palmas,26,3.3M,15K,Raúl Lizoain,1146
214973,Argentina,Panathinaikos FC,25,4.9M,1K,L. Villafañez,1808
219581,France,KAA Gent,23,4.7M,17K,S. Gigot,1662
159933,Chile,Unión Española,33,1.6M,6K,E. Madrez,1707
236221,Serbia,CD Leganés,25,5M,22K,D. Brašanac,1911
231102,France,En Avant de Guingamp,19,6.5M,13K,L. Blas,1905
198079,Liechtenstein,Hellas Verona,26,4.9M,5K,M. Büchel,1906
207807,Scotland,Bournemouth,23,5.5M,49K,R. Fraser,1832
178111,Serbia,FC Metz,33,1.6M,14K,M. Biševac,1792
184255,Iceland,FC Nantes,27,4.3M,25K,K. Sigþórsson,1755
202944,Sweden,Panathinaikos FC,25,5M,1K,O. Hiljemark,1933
166080,Brazil,Hull City,30,3.7M,13K,Evandro,1948
214209,Colombia,CD Los Millionarios Bogota,28,4.1M,6K,A. del Valle,1794
194753,Italy,Bari,27,3.8M,71K,L. Marrone,1922
207554,Sweden,FC Krasnodar,25,5M,36K,V. Claesson,1838
223682,Spain,Girona CF,28,4M,24K,Granell,1996
207555,Sweden,Bologna,24,4.5M,36K,F. Helander,1531
225475,Brazil,AS Saint-Étienne,23,4.4M,40K,Hernani,1961
193475,Senegal,Crystal Palace,27,3.7M,44K,P. Souaré,1984
213956,Spain,Middlesbrough,21,7M,15K,Adama,1693
222148,Slovakia,Hertha BSC Berlin,22,6M,23K,O. Duda,1749
159940,Chile,Everton de Viña del Mar,29,3.1M,5K,J. Dorlans,1711
178628,Italy,Sheffield Wednesday,27,4.3M,55K,F. Forestieri,1922
17605,Belgium,Club Brugge KV,40,0,14K,T. Simons,1786
206022,Sweden,FC København,28,3.6M,20K,E. Johansson,1745
210118,Portugal,AEK Athens,28,3.2M,1K,Hélder Lopes,1902
212678,Sweden,SV Werder Bremen,23,5.5M,21K,L. Augustinsson,1987
159942,Chile,CD Huachipato,25,3.5M,8K,M. Rancoret,1659
169158,Netherlands,Willem II,30,3M,11K,J. Peters,1706
189894,Italy,Novara,30,3.8M,6K,G. Sansone,1841
198599,Norway,Galatasaray SK,25,4.1M,43K,M. Linnes,1885
207559,Sweden,Brøndby IF,22,5.5M,18K,S. Tibbling,1848
148167,Russia,Rubin Kazan,36,450K,26K,O. Kuzmin,1972
224967,Senegal,KAA Gent,23,5.5M,20K,M. Sylla,1806
189383,Denmark,1. FC Kaiserslautern,27,4.5M,14K,M. Albæk,1912
202184,Ecuador,Real Salt Lake,25,4.3M,10K,J. Plata,1846
223689,Netherlands,AZ Alkmaar,24,5M,11K,W. Weghorst,1660
232905,Japan,Kashiwa Reysol,24,5M,12K,J. Ito,1852
194761,Spain,Girona CF,26,4.9M,23K,Borja García,1938
143306,Turkey,Beşiktaş JK,33,2M,32K,T. Zengin,1065
18122,France,Sporting Charleroi,36,550K,8K,N. Penneteau,1063
159946,Chile,Universidad Católica,25,3.5M,7K,D. Segoviniozo,1866
163530,France,AS Nancy Lorraine,32,2.3M,8K,J. Clément,1857
203979,Germany,Hannover 96,27,3.8M,33K,M. Bakalorz,1960
148684,Oman,Al Hilal,35,950K,17K,A. Al-Habsi,1233
204493,Austria,FK Austria Wien,24,4.4M,18K,R. Holzhauser,1919
227789,Korea Republic,Ulsan Hyundai Horang-i,22,5.5M,8K,Kim Seung Joon,1670
230094,Serbia,Kayserispor,24,5.5M,12K,N. Stojiljković,1787
112847,United States,LA Galaxy,35,1.7M,7K,J. Jones,2034
190671,Germany,SC Freiburg,30,3.7M,24K,M. Frantz,1970
223952,Spain,Sevilla FC,24,4.4M,10K,David Soria,1204
224977,Italy,Bari,23,4M,4K,A. Micai,1123
159953,Chile,CD Huachipato,33,1.6M,8K,L. Goterio,1734
230353,Brazil,Avaí Futebol Clube,33,1.5M,16K,Oswaldito Cuba,1984
201938,Belgium,Club Brugge KV,22,5.5M,19K,A. Limbombe,1760
218066,Tanzania,KRC Genk,24,5.5M,16K,M. Samatta,1743
153298,DR Congo,FC Lorient,32,3M,9K,A. Mvuemba,1979
175314,Scotland,Fulham,28,3.2M,40K,K. McDonald,1884
212947,France,FC Lorient,23,5.5M,8K,J. Cabot,1733
216019,Argentina,Club Tijuana,30,3M,20K,D. Musto,1776
236499,Brazil,Girona CF,19,7M,52K,Douglas Luiz,1985
181459,Greece,Bologna,32,2.2M,42K,V. Torosidis,1869
205524,Portugal,Grupo Desportivo de Chaves,27,3.7M,9K,Rúben Ferreira,1957
159956,Chile,Everton de Viña del Mar,25,3.5M,5K,J. Ermeño,1958
228821,France,Toulouse FC,21,5.5M,22K,Z. Machach,1918
213974,Uruguay,Independiente,27,3.8M,19K,D. Rodríguez,1888
215254,Argentina,River Plate,30,3M,19K,L. Lollo,1478
201943,Denmark,Atalanta,24,5.5M,25K,A. Cornelius,1695
204247,Turkey,İstanbul Başakşehir FK,23,5.5M,22K,K. Frei,1873
200408,England,Middlesbrough,24,4.8M,15K,B. Gibson,1498
204760,England,Burnley,23,4.7M,38K,C. Taylor,1931
208088,Spain,UD Las Palmas,22,4.8M,85K,Sergi Samper,1751
210648,Egypt,West Bromwich Albion,26,4.2M,52K,A. Hegazy,1411
228312,Finland,Panathinaikos FC,24,5M,1K,R. Lod,1842
169432,Algeria,Getafe CF,33,1.6M,21K,M. Lacen,1949
220633,England,Leicester City,21,6.5M,45K,D. Gray,1711
226777,Canada,Orlando City Soccer Club,22,6M,9K,C. Larin,1589
234457,Nigeria,CD Feirense,21,6M,9K,P. Etebo,1795
199387,Argentina,Stade de Reims,29,4M,12K,P. Chavarría,1868
207835,Brazil,Gamba Osaka,23,5.5M,13K,Ademilson,1823
192732,Russia,Hannover 96,27,4.2M,36K,E. Prib,1978
223198,Iraq,Udinese,23,4.6M,20K,A. Adnan,2019
231390,Portugal,SL Benfica,20,7M,10K,Diogo Gonçalves,1829
232670,Argentina,Rosario Central,29,4M,20K,F. Zampedri,1674
221919,Kosovo,SC Heerenveen,22,5.5M,11K,A. Zeneli,1795
183519,Netherlands,Evkur Yeni Malatyaspor,27,4.6M,16K,N. Barazite,1787
194015,Germany,DSC Arminia Bielefeld,26,3.5M,9K,J. Börner,1806
198368,Spain,Deportivo Alavés,29,3.8M,23K,Tomás Pina,1910
183520,Spain,CA Osasuna,27,3.8M,10K,Fran Mérida,2008
193504,England,Queens Park Rangers,25,4.3M,25K,S. Caulker,1659
203745,Italy,Carpi,29,3.1M,5K,L. Blanchard,1472
208609,Nigeria,Osmanlıspor,27,3.9M,17K,R. Lawal,1965
145889,Spain,CD Leganés,31,2.6M,21K,Tito,1814
169697,Republic of Ireland,Middlesbrough,30,2.6M,14K,D. Randolph,1176
180706,Northern Ireland,Watford,28,3.2M,46K,C. Cathcart,1609
197860,Portugal,Norwich City,27,3.3M,32K,Ivo Pinto,1866
153060,Argentina,Boca Juniors,32,2.3M,21K,J. Insaurralde,1617
220132,Spain,CD Leganés,25,4.3M,23K,Zaldúa,1707
187620,Netherlands,AZ Alkmaar,29,3.1M,11K,R. van Eijden,1487
200677,Portugal,Montpellier Hérault SC,26,4.3M,23K,Pedro Mendes,1604
183781,Denmark,Brentford,28,3.2M,40K,A. Bjelland,1769
184037,England,Crystal Palace,27,3.7M,44K,M. Kelly,1753
142822,Argentina,Independiente,33,2.3M,21K,J. Gutiérrez,1930
187878,Czech Republic,Sparta Praha,27,3.4M,1K,L. Mareček,1937
193510,Argentina,Club León,32,2.3M,27K,D. Novaretti,1412
240359,Paraguay,Gimnasia y Esgrima La Plata,20,5.5M,11K,O. Alderete,1895
159976,Chile,Everton de Viña del Mar,33,2.4M,5K,H. Ejeda,1864
184040,Denmark,SC Heerenveen,27,3.4M,17K,M. Hansen,1118
189160,Jamaica,Reading,30,3.8M,37K,G. McCleary,1915
203241,Brazil,Gençlerbirliği SK,25,4.2M,16K,Luccas Claro,1537
215018,Uruguay,Gimnasia y Esgrima La Plata,27,4.2M,16K,B. Alemán,1988
189930,Turkey,Fenerbahçe SK,27,3.3M,51K,I. Köybaşı,2007
210923,Saudi Arabia,Al Ahli,25,3.9M,25K,M. Al Owais,1165
53739,England,Stoke City,34,1.6M,42K,L. Grant,1187
208364,Angola,KRC Genk,24,4.3M,12K,Clinton Mata,1943
169708,England,Sheffield Wednesday,27,3.8M,47K,S. Hutchinson,1847
188397,France,SM Caen,27,4.2M,25K,R. Rodelin,1873
169710,Scotland,Nottingham Forest,28,3.6M,27K,L. Bridcutt,1872
177390,Bosnia Herzegovina,Philadelphia Union,32,2.3M,8K,H. Medunjanin,2009
164079,Brazil,Tigres U.A.N.L.,34,1.2M,50K,Juninho,1865
189936,Netherlands,Sunderland,30,2.6M,9K,R. Ruiter,1201
200433,Austria,VfL Bochum,26,5M,21K,L. Hinterseer,1743
164849,Portugal,CD Aves,31,3.4M,13K,Paulo Machado,1957
198386,Argentina,Estudiantes de La Plata,31,2.6M,16K,S. Dubarbier,2003
207858,United States,Orlando City Soccer Club,26,4.8M,10K,D. Dwyer,1794
208114,Brazil,Vitória Setúbal,26,3.9M,11K,Patrick,1917
212722,United States,Newcastle United,23,4.7M,45K,D. Yedlin,1932
220658,Brazil,VfB Stuttgart,22,5.5M,19K,Ailton,1983
189938,Netherlands,Vitesse,28,3.6M,12K,M. van der Werff,1860
214771,Paraguay,Al Nassr,29,3.8M,38K,V. Ayala,2046
230387,Brazil,Associação Chapecoense de Futebol,33,1.6M,16K,Heitinho Zanon,1608
183795,Austria,1. FC Nürnberg,28,3.2M,13K,G. Margreitter,1444
137460,Italy,Salernitana,33,2.4M,7K,A. Rosina,1783
218868,Uruguay,Club Atlético Lanús,27,4.2M,19K,A. Silva,2004
212469,Egypt,Vancouver Whitecaps FC,25,4.1M,8K,A. Ghazal,1702
164853,Australia,Bournemouth,32,2.3M,41K,A. Federici,1293
200438,Brazil,Legia Warszawa,26,4.7M,11K,Guilherme,1951
203766,Egypt,,26,0,0,A. El-Shenawy,1102
215798,Ivory Coast,Olympique Lyonnais,20,6M,45K,M. Cornet,1855
216054,Argentina,Independiente,27,4M,11K,N. Domínguez,1878
221430,Serbia,Olympiakos CFP,23,5.5M,1K,U. Đurđević,1701
209911,Zambia,Alanyaspor,26,4.7M,16K,C. Lungu,1875
201976,Senegal,Ferrara (SPAL),23,4.4M,24K,A. Gomis,1181
159992,Chile,CD Universidad de Concepción,33,2.5M,6K,D. Ballega,1784
101880,England,Huddersfield Town,37,270K,21K,R. Green,1112
235512,Angola,Sporting CP,20,7M,14K,Gelson Dala,1791
193528,Guinea,Queens Park Rangers,26,5M,31K,I. Sylla,1756
148217,Russia,Zenit St. Petersburg,34,1.1M,47K,A. Anyukov,1842
220921,Nigeria,KAA Gent,23,4.5M,17K,A. Esiti,1763
164857,Portugal,Vitória Setúbal,34,2.1M,10K,Edinho,1721
230393,Brazil,Fluminense Football Club,25,3.5M,30K,Paolito Serra,1526
178425,Italy,Vercelli,36,550K,3K,G. Vives,1882
198394,Sweden,FC Nantes,25,4.8M,22K,A. Kačaniklić,1784
217082,Venezuela,Terek Grozny,24,4.7M,25K,W. Ángel,1490
159994,Chile,Colo-Colo,25,3.5M,7K,B. Leitoñez,1906
189690,Spain,Getafe CF,30,2.6M,17K,Guaita,1301
202491,England,Swansea City,25,5M,55K,T. Carroll,1786
208892,England,West Ham United,23,4.5M,60K,S. Byram,1925
215292,Uruguay,Cruz Azul,30,3.9M,32K,M. Cauteruccio,1862
176636,Czech Republic,Śląsk Wrocław,30,3.7M,9K,K. Vacek,1965
178684,Portugal,Grupo Desportivo de Chaves,31,2.7M,9K,Nuno André Coelho,1701
187644,Argentina,Águilas Doradas,30,3.8M,3K,C. Maidana,1815
214781,Argentina,Club América,28,4.1M,55K,S. Romero,1836
225021,Paraguay,Monterrey,24,5.5M,46K,J. Benítez,1734
54013,England,Middlesbrough,32,3.1M,19K,S. Downing,1850
188157,Netherlands,ADO Den Haag,31,3.4M,13K,L. Immers,1920
188413,Chile,Atlanta United FC,30,3M,8K,C. Carmona,1957
190461,Iceland,Molde FK,25,5M,9K,B. Sigurðarson,1900
218623,Portugal,FC Metz,24,4.5M,12K,Cafú,1961
220671,Italy,Cagliari,30,3.9M,50K,F. Melchiorri,1661
230399,Brazil,Grêmio Foot-Ball Porto Alegrense,33,1.6M,21K,Michildo Melo,1715
240896,Ecuador,Estudiantes de La Plata,21,4.6M,11K,C. Alemán,1762
220673,Peru,Feyenoord,21,4.2M,9K,R. Tapia,1961
198146,Serbia,Real Sporting de Gijón,27,3.6M,17K,S. Šćepović,1734
198658,Norway,AZ Alkmaar,23,4.3M,7K,F. Midtsjø,1947
210434,Morocco,Dijon FCO,30,2.2M,13K,F. Chafik,1834
160002,Chile,Everton de Viña del Mar,25,3.4M,4K,O. Jonia,1762
188674,Turkey,Beşiktaş JK,28,3.2M,35K,M. Pektemek,1930
146947,Spain,Athletic Club de Bilbao,24,3.5M,13K,Vesga,1774
222467,Spain,Levante UD,23,4.4M,14K,Ivi,1850
180739,Japan,FC Metz,34,1.3M,8K,E. Kawashima,1175
201220,Albania,Benevento Calcio,30,2.9M,4K,L. Memushaj,1939
219652,Spain,Valencia CF,24,4.3M,17K,Rober Ibáñez,1830
160004,Chile,Unión Española,25,3.4M,5K,M. Echeberria,1800
176900,Colombia,Asociacion Deportivo Cali,40,0,2K,M. Candelo,1724
220165,Finland,Bayer 04 Leverkusen,22,4.3M,30K,J. Pohjanpalo,1671
223749,Turkey,Beşiktaş JK,21,4.4M,24K,O. Çınar,1757
185349,Belgium,Fulham,29,2.4M,29K,D. Odoi,1942
193029,Sweden,AEK Athens,27,3.2M,1K,A. Ajdarević,1824
200966,France,RC Strasbourg,30,2.9M,17K,B. Corgnet,1909
203782,Libya,Pescara,25,3.9M,4K,A. Benali,1842
204550,Colombia,Sagan Tosu,27,3.3M,5K,V. Ibarbo,1839
210182,Saudi Arabia,Al Hilal,26,3.2M,24K,M. Jahfali,1620
222982,France,Toulouse FC,20,4.7M,14K,A. Blin,1834
162054,England,Aston Villa,32,1.8M,19K,M. Bunn,1240
201991,Spain,CD Leganés,26,3.3M,15K,Erik Morán,1739
138247,Denmark,IF Elfsborg,34,1.3M,4K,K. Stuhr-Ellegaard,1131
203783,England,Huddersfield Town,25,3.3M,27K,T. Smith,1761
210695,Norway,Palermo,25,3.1M,3K,H. Aleesami,1820
212231,Portugal,Sporting CP,23,3.6M,9K,Tobias Figueiredo,1532
230407,Brazil,Botafogo de Futebol e Regatas,29,2.4M,13K,Miltisco Paulino,1708
233223,Croatia,Genoa,23,4.8M,18K,P. Brlek,1894
176903,Chile,Necaxa,33,1.3M,10K,M. Iturra,1807
190471,South Africa,Kaizer Chiefs,31,2.8M,1K,B. Parker,1859
207624,Nigeria,Kasimpaşa SK,23,3.7M,48K,K. Omeruo,1625
223240,Argentina,Banfield,24,3.6M,9K,G. Bettini,1730
160008,Chile,Deportes Iquique,25,3.4M,3K,L. Parreses,1748
34824,Italy,Bari,34,1.6M,14K,A. Floro Flores,1834
146953,Spain,CD Numancia,33,2M,8K,Manu Del Moral,1760
177673,Albania,Colorado Rapids,28,3.1M,7K,S. Gashi,2012
149258,Italy,Crotone,34,1.3M,7K,A. Cordaz,923
138507,Spain,Rayo Vallecano,37,210K,4K,Toño,1222
50955,France,AC Ajaccio,35,1.4M,4K,J. Cavalli,1901
215309,Argentina,Independiente,26,3.9M,16K,L. Albertengo,1762
223245,Argentina,FC Metz,22,4.6M,13K,B. Fernández,1815
168974,Czech Republic,Sparta Praha,35,1.4M,1K,D. Lafata,1838
197391,Norway,Strømsgodset IF,28,2.5M,4K,L. Vilsvik,1993
200463,United States,Sporting Kansas City,31,1.9M,5K,T. Melia,1145
143119,Argentina,Estudiantes de La Plata,35,1.4M,10K,M. Pavone,1763
213007,Saudi Arabia,Al Ahli,23,4.6M,23K,A. Aseri,1786
222991,Japan,Yokohama F. Marinos,27,3.3M,8K,M. Saito,1714
36111,United States,Real Salt Lake,35,725K,4K,K. Beckerman,1853
183567,Netherlands,Swansea City,28,2.5M,32K,E. Mulder,1193
212240,Turkey,Hannover 96,23,4.1M,23K,K. Karaman,1721
163600,England,Wolverhampton Wanderers,30,2M,25K,J. Ruddy,1090
230672,Brazil,Torino,20,4.4M,19K,Lyanco,1545
203793,United States,SV Werder Bremen,26,3.9M,21K,A. Jóhannsson,1746
215569,Spain,CA Osasuna,24,3.5M,6K,Unai Garcia,1711
205330,Haiti,SM Caen,24,4.2M,14K,J. Louis,1990
187666,Russia,FC Rostov,28,2.5M,18K,S. Pesyakov,1193
225555,Turkey,Gençlerbirliği SK,24,3.4M,10K,A. Oğuz,1987
225811,Colombia,Girona CF,20,4.8M,51K,M. Moreno,1675
215060,Argentina,Club Atlético Lanús,26,3.3M,12K,N. Aguirre,1985
181780,Slovenia,Vitesse,28,3.2M,10K,T. Matavž,1684
230421,Brazil,Avaí Futebol Clube,33,1.3M,11K,Otávinho Vila,1810
189717,Iran,SC Heerenveen,29,3.1M,9K,R. Ghoochannejhad,1766
135190,Austria,FC Twente,31,2.7M,8K,M. Liendl,1905
189462,Canada,Cardiff City,27,3.3M,21K,J. Hoilett,1844
160023,Chile,Deportes Iquique,33,1.2M,3K,L. Muñezal,1723
187415,Russia,Rubin Kazan,30,2.3M,26K,V. Granat,1760
186648,Hungary,,27,0,0,T. Kádár,1720
208153,South Africa,FC Groningen,25,3.9M,10K,L. Veldwijk,1681
164633,Germany,VfL Bochum,32,1.8M,13K,T. Hoogland,1858
230425,Brazil,Sport Club do Recife,29,2.4M,12K,Rubem Esteiro,1900
240409,Greece,Panathinaikos FC,25,3.3M,1K,D. Kolovetsios,1597
175897,Kosovo,Cremonese,28,2.2M,3K,S. Ujkani,1121
183833,Madagascar,FC Sochaux-Montbéliard,33,2M,8K,I. Andriatsima,1772
206106,Turkey,FC St. Pauli,22,4.2M,12K,E. Şahin,1766
208923,Saudi Arabia,Al Nassr,26,3M,24K,I. Ghaleb,1990
221467,Korea Republic,Jeju United FC,23,4.3M,5K,Lee Chang Min,1822
228635,Spain,Real Madrid CF,20,5.5M,68K,Borja Mayoral,1612
186139,England,Leicester City,25,3.8M,39K,M. James,1894
186651,Turkey,Kayserispor,29,3M,12K,G. Vural,2005
143644,Turkey,Göztepe,36,425K,9K,S. Şahin,1874
224540,Ghana,Levante UD,21,4.7M,14K,E. Boateng,1832
166940,Moldova,FC Rostov,33,1.8M,23K,A. Gaţcan,1940
207645,Gambia,Reading,24,4.1M,23K,M. Barrow,1761
230429,Brazil,Santos Futebol Clube,33,1.3M,12K,Timo Triano,1725
191005,Egypt,Aston Villa,29,2.4M,24K,A. Elmohamady,2000
194333,Poland,SC Freiburg,29,2.1M,14K,R. Gikiewicz,1058
205598,Portugal,CF Os Belenenses,26,3.3M,6K,André Sousa,1934
220702,Uruguay,Independiente,23,3.5M,12K,G. Silva,1788
160030,Chile,Universidad de Chile,33,1.2M,9K,G. Naballoz,1767
194334,Spain,Middlesbrough,26,2.7M,12K,Daniel Ayala,1629
219167,Argentina,Racing Club de Avellaneda,28,2.8M,13K,S. Vittor,1832
186143,Northern Ireland,Fulham,26,3.2M,29K,O. Norwood,1968
160032,Chile,Everton de Viña del Mar,25,2.7M,3K,J. Senparabia,1887
232736,Japan,SC Heerenveen,25,3.9M,8K,Y. Kobayashi,1835
189472,Spain,CA Osasuna,28,2.9M,8K,Aridane,1641
205857,South Africa,Kaizer Chiefs,27,3M,1K,E. Mathoho,1540
209698,Mali,AJ Auxerre,25,3.4M,6K,B. Touré,1705
230434,Brazil,Botafogo de Futebol e Regatas,29,2.4M,13K,Pimentiscinho,1864
226851,France,VfB Stuttgart,21,3.9M,12K,B. Pavard,1811
53027,Tunisia,AS Nancy Lorraine,35,725K,4K,A. Yahia,1650
194083,Portugal,Lechia Gdańsk,32,2.5M,8K,Marco Paixão,1735
223524,Italy,Sassuolo,23,3.7M,26K,E. Goldaniga,1475
150565,Cameroon,Olympique de Marseille,33,1.2M,18K,H. Bedimo,1939
222501,Belgium,Atalanta,21,3.7M,13K,T. Castagne,1736
182053,Estonia,Piast Gliwice,32,2.4M,7K,K. Vassiljev,1885
216102,Portugal,Estoril Praia,26,3.8M,8K,André Claro,1779
240166,Serbia,SC Heerenveen,21,4.4M,7K,N. Mihajlović,1671
184614,Netherlands,Feyenoord,28,3.2M,13K,M. Kramer,1665
157479,Spain,Levante UD,33,1.2M,15K,Pedro López,1933
199464,France,FC Lorient,25,3.4M,6K,L. Rose,1691
183336,Norway,Rosenborg BK,27,3.3M,7K,P. Helland,1898
189480,Czech Republic,Sparta Praha,27,3.3M,1K,J. Šural,1821
193064,Spain,SD Huesca,31,2.1M,6K,Carlos David,1601
204841,Colombia,CD Los Millionarios Bogota,31,2.8M,4K,D. Riascos,1800
207657,Argentina,Club Atlético Lanús,25,4.1M,12K,F. Barrientos,1876
159017,Finland,Legia Warszawa,30,2.9M,8K,K. Hämäläinen,1830
160041,Chile,CD Universidad de Concepción,33,1.2M,4K,J. Oyarcan,1860
201514,DR Congo,Huddersfield Town,25,3.9M,30K,E. Kachunga,1860
219690,Brazil,CD Aves,33,1.3M,9K,Diego Galo,1511
220715,Argentina,LOSC Lille,20,4.7M,32K,E. Ponce,1721
160043,Chile,Deportes Iquique,25,2.7M,3K,A. Candelo,2037
106795,Italy,Sassuolo,36,425K,16K,G. Pegolo,1117
234028,Brazil,Clube Atlético Mineiro,29,3.1M,26K,Rômulo Calsede,1772
160045,Chile,CD Huachipato,33,1.2M,6K,S. Ricuelme,1828
183853,Spain,Real Oviedo,28,3.1M,8K,Aarón Ñíguez,1910
227886,Colombia,Independiente Santa Fe,26,3.9M,4K,D. Buitrago,1676
52270,Germany,FK Austria Wien,33,1.3M,15K,H. Westermann,1628
209711,Denmark,FC Zürich,25,2.8M,10K,R. Thelander,1538
156975,Scotland,Heart of Midlothian,32,1.8M,6K,C. Berra,1489
151856,Nigeria,F.C. Tokyo,33,2M,11K,P. Utaka,1828
230448,Brazil,Coritiba Foot Ball Club,29,2.4M,15K,Porphirinho,1922
184624,Scotland,Sheffield Wednesday,27,3.3M,40K,J. Rhodes,1738
204337,Argentina,Atlético Tucumán,29,3M,9K,G. Núñez,1824
219953,Spain,Rayo Vallecano,25,3.9M,8K,Embarba,1847
222513,England,Newcastle United,21,4.4M,32K,R. Aarons,1686
226865,Brazil,FC Paços de Ferreira,24,3.5M,6K,Bruno Santos,1678
190769,Italy,Genoa,27,2.5M,16K,E. Lamanna,1108
201266,Denmark,FC København,25,3.7M,15K,K. Kusk,1828
139058,Argentina,Independiente Santa Fe,36,1M,3K,O. Pérez,1826
211506,England,Reading,22,4.2M,21K,J. Swift,1944
160050,Chile,CD Huachipato,29,2.4M,6K,F. Iturrado,1597
227890,Portugal,Rio Ave FC,22,4.4M,7K,Nuno Santos,1839
45874,Sweden,BK Häcken,33,1.8M,4K,A. Farnerud,1903
189490,Germany,Eintracht Braunschweig,30,2.9M,17K,M. Boland,2020
202035,France,En Avant de Guingamp,26,3.7M,17K,N. Benezet,1737
202547,France,FC Utrecht,24,4M,42K,J. Bahebeck,1831
152883,United States,Seattle Sounders FC,32,1.8M,6K,C. Marshall,1666
189235,Germany,Bristol City,29,2.4M,29K,J. Hegeler,1918
146996,Spain,RC Deportivo de La Coruña,33,1.6M,12K,Rubén,1181
159284,Italy,Genoa,33,1.9M,23K,R. Palladino,1677
230452,Brazil,Grêmio Foot-Ball Porto Alegrense,33,1.3M,15K,Alessinito,1834
190516,Belgium,FC Nantes,26,3.3M,17K,Y. El Ghanassy,1812
193844,Spain,Getafe CF,27,3.6M,16K,Portillo,1869
224309,Spain,SD Eibar,22,4.1M,12K,Joan Jordán,1846
